problem,rep,n_vertices,n_edges,answer,chk_op,op
euler,AdjList,6,12,1,42,68
euler,AdjList,8,16,1,56,90
euler,AdjList,10,20,1,70,111
euler,AdjList,12,24,1,84,135
euler,AdjList,14,28,1,98,157
euler,AdjList,16,32,1,112,187
euler,AdjList,18,36,1,126,215
euler,AdjList,20,40,1,140,227
euler,AdjList,22,44,1,154,248
euler,AdjList,24,48,1,168,274
euler,AdjList,26,52,1,182,295
euler,AdjList,28,56,1,196,314
euler,AdjList,30,60,1,210,338
euler,AdjList,32,64,1,224,366
euler,AdjList,34,68,1,238,388
euler,AdjList,36,72,1,252,404
euler,AdjList,38,76,1,266,425
euler,AdjList,40,80,1,280,457
euler,AdjList,42,84,1,294,473
euler,AdjList,44,88,1,308,502
euler,AdjList,46,92,1,322,530
euler,AdjList,48,96,1,336,557
euler,AdjList,50,100,1,350,569
